# File: A_agRegionalSector.csv
# Title: Supplysector assumptions for regional agricultural markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete domestic production and imports from the globally traded markets (source: GTAP)
# Source: NA
# Column types: ccccnc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
regional corn,Mt,Mt,1975$/kg,-3,
regional fibercrop,Mt,Mt,1975$/kg,-3,
regional fruits,Mt,Mt,1975$/kg,-3,
regional legumes,Mt,Mt,1975$/kg,-3,
regional misccrop,Mt,Mt,1975$/kg,-3,
regional nuts_seeds,Mt,Mt,1975$/kg,-3,
regional oilcrop,Mt,Mt,1975$/kg,-3,
regional oilcrop feedcake,Mt,Mt,1975$/kg,-3,
regional oilcrop oil,Mt,Mt,1975$/kg,-3,
regional othergrain,Mt,Mt,1975$/kg,-3,
regional palmfruit,Mt,Mt,1975$/kg,-3,
regional palmfruit feedcake,Mt,Mt,1975$/kg,-3,
regional palmfruit oil,Mt,Mt,1975$/kg,-3,
regional rapeseed,Mt,Mt,1975$/kg,-3,
regional rapeseed feedcake,Mt,Mt,1975$/kg,-3,
regional rapeseed oil,Mt,Mt,1975$/kg,-3,
regional rice,Mt,Mt,1975$/kg,-3,
regional root_tuber,Mt,Mt,1975$/kg,-3,
regional soybean,Mt,Mt,1975$/kg,-3,
regional soybean feedcake,Mt,Mt,1975$/kg,-3,
regional soybean oil,Mt,Mt,1975$/kg,-3,
regional sugarcrop,Mt,Mt,1975$/kg,-3,
regional vegetables,Mt,Mt,1975$/kg,-3,
regional wheat,Mt,Mt,1975$/kg,-3,
regional beef,Mt,Mt,1975$/kg,-3.9,
regional dairy,Mt,Mt,1975$/kg,-3.7,
regional pork,Mt,Mt,1975$/kg,-4.4,
regional poultry,Mt,Mt,1975$/kg,-4.4,
regional sheepgoat,Mt,Mt,1975$/kg,-3.9,
regional DDGS,Mt,Mt,1975$/kg,-3,
regional forest,billion m3,billion m3,1975$/m3,-2.5,
